name,comment,star
Tamtrinh,Máy dùng toàn bị đơ .sập nguồn. Bây giờ còn báo lỗi phần mềm nữa. Cứ phải mang ra cửa hàng nhờ hỗ trợ thế này nản quá,2
PhƯơNg HỒNg,"Mình thì thấy loại này xài tốt, phù hợp giá tiền chắc mỗi người mỗi cách sử dụng khác nhau",5
Van Minh,Máy chi co cai kết nối mạng rất chậm ram 6g cau hih cung ko dên nôi ma xai nhu may ram 3g .vân tay thi kém.dk goi 128g ma xai thua may j7 mih xai luon phí tien khi mua may nay,3
Giang VĂN LỰC,Tôi thấy rất buồn về dòng A50 128g.vân tay kém.âm thanh gọi đến quá tồi .ko đáng đồng tiền.tôi muốn dc hỗ trợ,1
NguyỄN HẢI,Điện thoại quá kém. Luôn luôn đơ cảm ứng. Vừa yếu vừa dỏm. Không đáng tiền mua. Đừng ai mua dòng đt này. Chơi gãme thì đơ cảm ứng k chơi đc ức chế thêm,1
DƯơNg Minh,Sản phẩm xài mấy rất nóng .xuống pin nhah.cảm ứng thí chậm.mang kết nói kém.khuyên ae nên xài loại cao cấp hơn hoặc oppo f11 pro ngon hơn,2
LÊ TrỌNg HiẾU,"Máy xài 1 năm, 1 sim, ko tải facebook =>tất cả đều ổn. Máy này ko dành cho ai tham lam xài nhiều ứng dụng, ko biết xóa rác. Mình xài 4g+ 120k 28g chứ ko giống như mấy cha xài 70k 1 tháng rồi ngồi than chơi game lag. Tất cả gem tùy chỉnh cấu hình trung đều ok. Tôi chơi FF, LQ, KRITIKA, MSS, ZALO, chạy grab mở ứng dụng + định vị cùng chơi gem nhưng vẫn ổn và xài 10tiếng mới còn 10℅.",4
ThuẬN,"Sản phẩm ok,camera chụp cũng đẹp,loa to,pin tạm đc,nhận diện gương mặt và vân tay ổn không tệ như nhữnh đánh giá trên đây",5
HoÀNg Thanh SƠN,Mới dùng 2 tháng sản phẩm đã bị lỗi còn kém hơn mấy cái điện thoại rẻ biết thế đừng mua,2
ĐôNg Hoa,"Lần cấp nhật này , mở khóa vân tay như shit ấy. Mong bl này gửi đến nhà sx samsung",1
LÊ Thanh VŨ,4g giật lang. Kém quá kém với số tiền bỏ ra của t. 8tr. Không còn niềm tin vào sambsung,1
