name,comment,star
Mai NhẬT Vinh,"Mình mua máy được 1 tuần, cảm nhận máy rất tốt và có thể dùng lâu dài. Ngoại hình máy đẹp và chắc chắn, màn hình amoled rất rực rỡ và rõ nét phù hợp xem video, pin dư dùng cho một ngày nếu không chơi game, chụp hình khá ổn, loa ngoài vừa đủ nghe. Nói chung là hài lòng so với số tiền bỏ ra. Mình mua được đợt sale nên chỉ có 6tr1 thôi, tính ra tiki rẻ nhất thị trường.",5
LÊ BÁ Minh Quang,"Tiki giao hàng nhanh và giá cũng rẻ hơn những nơi khác, máy chính hãng và còn nguyên seal. Về sản phẩm thì sau 1 tuần sử dụng mình nhận thấy điểm cộng là thiết kế đẹp, mỏng và nhẹ, màn hình rất đẹp, pin tốt (on-screen tầm 7h), camera nói chung là ổn, cấu hình thì dư sức cho các tác vụ thường ngày cũng như những game không quá nặng, giao diện One UI rất dễ chịu và dễ dùng, nhiều tính năng hay ho. Điểm trừ là vân tay dưới màn hình quá chậm, chậm đến nỗi mình chuyển ngay sang dùng mở khóa gương mặt, khá là bất tiện vì các app ví điện tử ở Việt Nam đều xác thực bằng vân tay. Máy không có Samsung Pay do không có NFC, khá là tiếc. Dù sao với mức giá tầm 6tr thì A50 rất đáng mua, không bị tình trạng giá cao mà cấu hình không tương xứng như những năm trước.",5
LẠI QuỐC ĐạT,"Tôi đã sử dụng 1 tuần rồi. Máy nói chung mượt,chạy game ổn k vấn đề gì. Nhưng có 1 lỗi là máy tự mất kết nối wifi,dù đã tắt mở lại nhiều lần nhưng vẫn không đc,phải reset lại máy thì mới fix được. không hiểu do phần mềm bị lỗi hay như thế nào. mong là nhà sản xuất sẽ fix lỗi trong những lần update tới.",4
HuyỀN Anh,"Khi sử dụng máy thì mới bật chế độ bảo hành từ Samsung. Máy có các tính năng tốt trong tầm giá, chỉ có nhược điểm về loa (k đc hay). Điểm bất ngờ khi nhận đc máy là có tặng kèm 1 vỏ bọc nhựa trong cho máy (dù trong phụ kiện đi kèm k có ghi vỏ bọc máy) ? Là sản phẩm nên mua tại tiki!",5
NhƯ XuÂN,"Hàng quá ưng luôn, đặt điện thoại trên ap cũng bâng khuân nhiều thứ, giờ về mở hộp ra và check mã thì hết sức hài lòng. chuẩn hàng chính hãng. Sẽ ủng hộ Tiki trong những sản phẩm sắp tới",5
TrẦN TÚ Minh,"Đang chưa hiểu là có mục giao nhanh 2h miễn phí xong đặt hàng thì vào mục giao tiêu chuẩn là thế nào nhỉ? Hay là phải mua gói tikinow mới có khoản đó. Và dưới thì ghi là giao 2h trước 12h, load vài lần thì tụt đến 15h. Tiki nên tõ ràng hơn là nếu giao nhanh thì mất bao tiền và giao tiêu chuẩn thì miễn phí để mua còn biết mình nên dùng dịch vụ nào.",4
TrẦN HÙNg,"Hàng đúng mô tả, còn chất lượng như nào phải dùng mới biết. Trước mắt là cái cảm ứng vân tay chậm không sài được phải dùng id khuôn mặt. Về tiki: website quá chán. Mua xong là hầu như không có kênh liên lạc với người bán ngoài kênh alo. Gửi email thì mất hút chả ai trả lời.",4
PhẠM NhẬT HẠ,"Mới về trên tay luôn. Phải nói chạy mượt. Màn hình thì khỏi chê rồi. Trước phân vân với con redmi note 7 nhưng vì cái màn ngon hơn nên chọn SS A50. Nhiều người chê vân tay chứ mình xài thấy cũng ổn áp, ko quá chậm. Bấm phát được liền, chỉ không nhanh so với vân tay 1 chạm thôi. Tóm váy lại là quá đáng tiền.",5
ĐOÀN TẤN Huy,"Do đặt đợt đầu khan hàng nên không có tiki now. Tuy nhiên, tiki vẫn giao hàng sớm hơn dự kiến. Đóng gói ổn. Chất lượng thì do Samsung sản xuất nên ko bàn. Đánh giá ở đây chỉ đánh giá chất lượng dịch vụ của tiki thôi.",5
LÊ ThỊ MỸ TrÀ,"vì mình đã dùng máy này nên thấy tiki rẻ hơn giá tt đã đặt giúp 1 ng bạn, nói chung k có gì để chê giao hàng nhanh, đầy đủ tem mác... Ổn và rẻ, dùng rất ok, vì có 3 khay nên dùng 2 sim và thẻ nhớ, mua thêm cái sim 4G dùng cả năm của viettel dùng rất hợp lý!",5
